Unnamed: 0,a,ab,b,c,pentamer,N-Boc,N-H,halide
334.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3cccnc3-c3ccc4c(ccn4-c4cnccn4)c3)ccc2-c2ccc(-c3cccnc3-c3ccc4c(ccn4-c4cnccn4)c3)cc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5cccnc5-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)ccc3-4)ccc21,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3cccnc3-c3ccc4[nH]ccc4c3)ccc2-c2ccc(-c3cccnc3-c3ccc4[nH]ccc4c3)cc21,Brc1nccnc1
335.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Clc1cc(Cl)c(Br)cc1Br,Clc1cc(Cl)c(-c2cccnc2-c2ccc3c(ccn3-c3cnccn3)c2)cc1-c1cccnc1-c1ccc2c(ccn2-c2cnccn2)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3-c3cc(-c4cccnc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)c(Cl)cc3Cl)ccc21,Clc1cc(Cl)c(-c2cccnc2-c2ccc3[nH]ccc3c2)cc1-c1cccnc1-c1ccc2[nH]ccc2c1,Brc1nccnc1
336.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1cnc2nc(Br)ccc2c1,c1cnc(-c2ccc3c(ccn3-c3cnccn3)c2)c(-c2cnc3nc(-c4cccnc4-c4ccc5c(ccn5-c5cnccn5)c4)ccc3c2)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3-c3cnc4nc(-c5cccnc5-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)ccc4c3)ccc21,c1cnc(-c2ccc3[nH]ccc3c2)c(-c2cnc3nc(-c4cccnc4-c4ccc5[nH]ccc5c4)ccc3c2)c1,Brc1nccnc1
337.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1cccc2cccc(Br)c12,c1cnc(-c2ccc3c(ccn3-c3cnccn3)c2)c(-c2cccc3cccc(-c4cccnc4-c4ccc5c(ccn5-c5cnccn5)c4)c23)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3-c3cccc4cccc(-c5cccnc5-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)c34)ccc21,c1cnc(-c2ccc3[nH]ccc3c2)c(-c2cccc3cccc(-c4cccnc4-c4ccc5[nH]ccc5c4)c23)c1,Brc1nccnc1
338.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccnc3-c3ccc4c(ccn4-c4cnccn4)c3)ccc2-c2ccc(-c3cccnc3-c3ccc4c(ccn4-c4cnccn4)c3)cc21,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccnc3-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)ccc2-c2ccc(-c3cccnc3-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)cc21,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccnc3-c3ccc4[nH]ccc4c3)ccc2-c2ccc(-c3cccnc3-c3ccc4[nH]ccc4c3)cc21,Brc1nccnc1
339.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Fc1c(F)c(Br)c2nsnc2c1Br,Fc1c(F)c(-c2cccnc2-c2ccc3c(ccn3-c3cnccn3)c2)c2nsnc2c1-c1cccnc1-c1ccc2c(ccn2-c2cnccn2)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3-c3c(F)c(F)c(-c4cccnc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)c4nsnc34)ccc21,Fc1c(F)c(-c2cccnc2-c2ccc3[nH]ccc3c2)c2nsnc2c1-c1cccnc1-c1ccc2[nH]ccc2c1,Brc1nccnc1
340.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,C[Si](C)(c1ccc(-c2cccnc2-c2ccc3c(ccn3-c3cnccn3)c2)cc1)c1ccc(-c2cccnc2-c2ccc3c(ccn3-c3cnccn3)c2)cc1,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3-c3ccc([Si](C)(C)c4ccc(-c5cccnc5-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)cc4)cc3)ccc21,C[Si](C)(c1ccc(-c2cccnc2-c2ccc3[nH]ccc3c2)cc1)c1ccc(-c2cccnc2-c2ccc3[nH]ccc3c2)cc1,Brc1nccnc1
341.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3[B-]34OC(=O)C[N+]3(C)CC(=O)O4)ccc21,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1ccc2nc3ccc(Br)cc3nc2c1,c1cnc(-c2ccc3c(ccn3-c3cnccn3)c2)c(-c2ccc3nc4ccc(-c5cccnc5-c5ccc6c(ccn6-c6cnccn6)c5)cc4nc3c2)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3-c3ccc4nc5ccc(-c6cccnc6-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cc5nc4c3)ccc21,c1cnc(-c2ccc3[nH]ccc3c2)c(-c2ccc3nc4ccc(-c5cccnc5-c5ccc6[nH]ccc6c5)cc4nc3c2)c1,Brc1nccnc1
380.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)cc3)ccc21,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,C[Si](C)(c1ccccc1Br)c1ccccc1Br,C[Si](C)(c1ccccc1-c1ccc(-c2ccc3c(ccn3-c3cnccn3)c2)cc1)c1ccccc1-c1ccc(-c2ccc3c(ccn3-c3cnccn3)c2)cc1,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc(-c4ccccc4[Si](C)(C)c4ccccc4-c4ccc(-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)cc4)cc3)ccc21,C[Si](C)(c1ccccc1-c1ccc(-c2ccc3[nH]ccc3c2)cc1)c1ccccc1-c1ccc(-c2ccc3[nH]ccc3c2)cc1,Brc1nccnc1
381.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)cc3)ccc21,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1ccc(Br)nc1,c1cnc(-n2ccc3cc(-c4ccc(-c5ccc(-c6ccc(-c7ccc8c(ccn8-c8cnccn8)c7)cc6)nc5)cc4)ccc32)cn1,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc(-c4ccc(-c5ccc(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cc5)nc4)cc3)ccc21,c1cc2cc(-c3ccc(-c4ccc(-c5ccc(-c6ccc7[nH]ccc7c6)cc5)nc4)cc3)ccc2[nH]1,Brc1nccnc1
383.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)cc3)ccc21,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1cc(Br)c2ccccc2c1,c1ccc2c(-c3ccc(-c4ccc5c(ccn5-c5cnccn5)c4)cc3)cc(-c3ccc(-c4ccc5c(ccn5-c5cnccn5)c4)cc3)cc2c1,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc(-c4cc(-c5ccc(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cc5)c5ccccc5c4)cc3)ccc21,c1ccc2c(-c3ccc(-c4ccc5[nH]ccc5c4)cc3)cc(-c3ccc(-c4ccc5[nH]ccc5c4)cc3)cc2c1,Brc1nccnc1
384.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)cc3)ccc21,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Clc1cc(Br)sc1Br,Clc1cc(-c2ccc(-c3ccc4c(ccn4-c4cnccn4)c3)cc2)sc1-c1ccc(-c2ccc3c(ccn3-c3cnccn3)c2)cc1,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc(-c4cc(Cl)c(-c5ccc(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cc5)s4)cc3)ccc21,Clc1cc(-c2ccc(-c3ccc4[nH]ccc4c3)cc2)sc1-c1ccc(-c2ccc3[nH]ccc3c2)cc1,Brc1nccnc1
385.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)cc3)ccc21,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Cc1nc2c(Br)c3nsnc3c(Br)c2nc1C,Cc1nc2c(-c3ccc(-c4ccc5c(ccn5-c5cnccn5)c4)cc3)c3nsnc3c(-c3ccc(-c4ccc5c(ccn5-c5cnccn5)c4)cc3)c2nc1C,Cc1nc2c(-c3ccc(-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cc3)c3nsnc3c(-c3ccc(-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)cc3)c2nc1C,Cc1nc2c(-c3ccc(-c4ccc5[nH]ccc5c4)cc3)c3nsnc3c(-c3ccc(-c4ccc5[nH]ccc5c4)cc3)c2nc1C,Brc1nccnc1
386.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)cc3)ccc21,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1ccccc1Oc1ccccc1Br,c1ccc(-c2ccc(-c3ccc4c(ccn4-c4cnccn4)c3)cc2)c(Oc2ccccc2-c2ccc(-c3ccc4c(ccn4-c4cnccn4)c3)cc2)c1,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc(-c4ccccc4Oc4ccccc4-c4ccc(-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)cc4)cc3)ccc21,c1ccc(-c2ccc(-c3ccc4[nH]ccc4c3)cc2)c(Oc2ccccc2-c2ccc(-c3ccc4[nH]ccc4c3)cc2)c1,Brc1nccnc1
387.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)cc3)ccc21,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,CC(C)(C)c1ccc2c(Br)c3ccccc3c(Br)c2c1,CC(C)(C)c1ccc2c(-c3ccc(-c4ccc5c(ccn5-c5cnccn5)c4)cc3)c3ccccc3c(-c3ccc(-c4ccc5c(ccn5-c5cnccn5)c4)cc3)c2c1,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc(-c4c5ccccc5c(-c5ccc(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cc5)c5cc(C(C)(C)C)ccc45)cc3)ccc21,CC(C)(C)c1ccc2c(-c3ccc(-c4ccc5[nH]ccc5c4)cc3)c3ccccc3c(-c3ccc(-c4ccc5[nH]ccc5c4)cc3)c2c1,Brc1nccnc1
388.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)cc3)ccc21,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,Fc1cc(-c2ccc(-c3ccc4c(ccn4-c4cnccn4)c3)cc2)c(F)cc1-c1ccc(-c2ccc3c(ccn3-c3cnccn3)c2)cc1,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc(-c4cc(F)c(-c5ccc(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cc5)cc4F)cc3)ccc21,Fc1cc(-c2ccc(-c3ccc4[nH]ccc4c3)cc2)c(F)cc1-c1ccc(-c2ccc3[nH]ccc3c2)cc1,Brc1nccnc1
389.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)cc3)ccc21,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1ccc2oc(Br)cc2c1,c1cnc(-n2ccc3cc(-c4ccc(-c5ccc6oc(-c7ccc(-c8ccc9c(ccn9-c9cnccn9)c8)cc7)cc6c5)cc4)ccc32)cn1,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc(-c4ccc5oc(-c6ccc(-c7ccc8c(ccn8C(=O)OC(C)(C)C)c7)cc6)cc5c4)cc3)ccc21,c1cc2cc(-c3ccc(-c4ccc5oc(-c6ccc(-c7ccc8[nH]ccc8c7)cc6)cc5c4)cc3)ccc2[nH]1,Brc1nccnc1
390.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)cc3)ccc21,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1ccc(Br)o1,c1cnc(-n2ccc3cc(-c4ccc(-c5ccc(-c6ccc(-c7ccc8c(ccn8-c8cnccn8)c7)cc6)o5)cc4)ccc32)cn1,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc(-c4ccc(-c5ccc(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cc5)o4)cc3)ccc21,c1cc2cc(-c3ccc(-c4ccc(-c5ccc(-c6ccc7[nH]ccc7c6)cc5)o4)cc3)ccc2[nH]1,Brc1nccnc1
391.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)cc3)ccc21,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3ccc(-c4ccc5c(ccn5-c5cnccn5)c4)cc3)ccc2-c2ccc(-c3ccc(-c4ccc5c(ccn5-c5cnccn5)c4)cc3)cc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc(-c4ccc5c(c4)C4(c6ccccc6-c6ccccc64)c4cc(-c6ccc(-c7ccc8c(ccn8C(=O)OC(C)(C)C)c7)cc6)ccc4-5)cc3)ccc21,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3ccc(-c4ccc5[nH]ccc5c4)cc3)ccc2-c2ccc(-c3ccc(-c4ccc5[nH]ccc5c4)cc3)cc21,Brc1nccnc1
392.0,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc([B-]45OC(=O)C[N+]4(C)CC(=O)O5)cc3)ccc21,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Clc1cc(Cl)c(Br)cc1Br,Clc1cc(Cl)c(-c2ccc(-c3ccc4c(ccn4-c4cnccn4)c3)cc2)cc1-c1ccc(-c2ccc3c(ccn3-c3cnccn3)c2)cc1,CC(C)(C)OC(=O)n1ccc2cc(-c3ccc(-c4cc(-c5ccc(-c6ccc7c(ccn7C(=O)OC(C)(C)C)c6)cc5)c(Cl)cc4Cl)cc3)ccc21,Clc1cc(Cl)c(-c2ccc(-c3ccc4[nH]ccc4c3)cc2)cc1-c1ccc(-c2ccc3[nH]ccc3c2)cc1,Brc1nccnc1
