Unnamed: 0,a,ab,b,c,pentamer
0.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,C[Si](C)(c1ccccc1Br)c1ccccc1Br,C[Si](C)(c1ccccc1-c1cccnc1-c1ccco1)c1ccccc1-c1cccnc1-c1ccco1
1.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1ccc(Br)nc1,c1coc(-c2ncccc2-c2ccc(-c3cccnc3-c3ccco3)nc2)c1
3.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1cc(Br)c2ccccc2c1,c1coc(-c2ncccc2-c2cc(-c3cccnc3-c3ccco3)c3ccccc3c2)c1
4.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Clc1cc(Br)sc1Br,Clc1cc(-c2cccnc2-c2ccco2)sc1-c1cccnc1-c1ccco1
5.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Cc1nc2c(Br)c3nsnc3c(Br)c2nc1C,Cc1nc2c(-c3cccnc3-c3ccco3)c3nsnc3c(-c3cccnc3-c3ccco3)c2nc1C
6.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1ccccc1Oc1ccccc1Br,c1coc(-c2ncccc2-c2ccccc2Oc2ccccc2-c2cccnc2-c2ccco2)c1
7.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,CC(C)(C)c1ccc2c(Br)c3ccccc3c(Br)c2c1,CC(C)(C)c1ccc2c(-c3cccnc3-c3ccco3)c3ccccc3c(-c3cccnc3-c3ccco3)c2c1
8.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,Fc1cc(-c2cccnc2-c2ccco2)c(F)cc1-c1cccnc1-c1ccco1
9.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1ccc2oc(Br)cc2c1,c1coc(-c2ncccc2-c2ccc3oc(-c4cccnc4-c4ccco4)cc3c2)c1
10.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1ccc(Br)o1,c1coc(-c2ncccc2-c2ccc(-c3cccnc3-c3ccco3)o2)c1
11.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,c1coc(-c2ncccc2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4cccnc4-c4ccco4)ccc2-3)c1
12.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Clc1cc(Cl)c(Br)cc1Br,Clc1cc(Cl)c(-c2cccnc2-c2ccco2)cc1-c1cccnc1-c1ccco1
13.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1cnc2nc(Br)ccc2c1,c1coc(-c2ncccc2-c2cnc3nc(-c4cccnc4-c4ccco4)ccc3c2)c1
14.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1cccc2cccc(Br)c12,c1coc(-c2ncccc2-c2cccc3cccc(-c4cccnc4-c4ccco4)c23)c1
15.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccnc3-c3ccco3)ccc2-c2ccc(-c3cccnc3-c3ccco3)cc21
16.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Fc1c(F)c(Br)c2nsnc2c1Br,Fc1c(F)c(-c2cccnc2-c2ccco2)c2nsnc2c1-c1cccnc1-c1ccco1
17.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,C[Si](C)(c1ccc(-c2cccnc2-c2ccco2)cc1)c1ccc(-c2cccnc2-c2ccco2)cc1
18.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1ccc2nc3ccc(Br)cc3nc2c1,c1coc(-c2ncccc2-c2ccc3nc4ccc(-c5cccnc5-c5ccco5)cc4nc3c2)c1
57.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,C[Si](C)(c1ccccc1Br)c1ccccc1Br,C[Si](C)(c1ccccc1-c1ccc(-c2ccco2)cc1)c1ccccc1-c1ccc(-c2ccco2)cc1
58.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1ccc(Br)nc1,c1coc(-c2ccc(-c3ccc(-c4ccc(-c5ccco5)cc4)nc3)cc2)c1
60.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1cc(Br)c2ccccc2c1,c1coc(-c2ccc(-c3cc(-c4ccc(-c5ccco5)cc4)c4ccccc4c3)cc2)c1
61.0,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Clc1cc(Br)sc1Br,Clc1cc(-c2ccc(-c3ccco3)cc2)sc1-c1ccc(-c2ccco2)cc1
