,pentamer,a,b,c,ab
10,c1coc(-c2ncccc2-c2ccc(-c3cccnc3-c3ccco3)o2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1ccc(Br)o1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2
11,c1coc(-c2ncccc2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4cccnc4-c4ccco4)ccc2-3)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2
12,Clc1cc(Cl)c(-c2cccnc2-c2ccco2)cc1-c1cccnc1-c1ccco1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Clc1cc(Cl)c(Br)cc1Br,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2
13,c1coc(-c2ncccc2-c2cnc3nc(-c4cccnc4-c4ccco4)ccc3c2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1cnc2nc(Br)ccc2c1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2
14,c1coc(-c2ncccc2-c2cccc3cccc(-c4cccnc4-c4ccco4)c23)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1cccc2cccc(Br)c12,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2
15,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3cccnc3-c3ccco3)ccc2-c2ccc(-c3cccnc3-c3ccco3)cc21,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2
16,Fc1c(F)c(-c2cccnc2-c2ccco2)c2nsnc2c1-c1cccnc1-c1ccco1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Fc1c(F)c(Br)c2nsnc2c1Br,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2
17,C[Si](C)(c1ccc(-c2cccnc2-c2ccco2)cc1)c1ccc(-c2cccnc2-c2ccco2)cc1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2
18,c1coc(-c2ncccc2-c2ccc3nc4ccc(-c5cccnc5-c5ccco5)cc4nc3c2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,Brc1ccc2nc3ccc(Br)cc3nc2c1,C[N+]12CC(=O)O[B-]1(c1cccnc1-c1ccco1)OC(=O)C2
38,C[Si](C)(c1ccccc1-c1c(-c2ccco2)cccc1-n1c2ccccc2c2ccccc21)c1ccccc1-c1c(-c2ccco2)cccc1-n1c2ccccc2c2ccccc21,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,C[Si](C)(c1ccccc1Br)c1ccccc1Br,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
39,c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2ccc(-c3c(-c4ccco4)cccc3-n3c4ccccc4c4ccccc43)nc2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,Brc1ccc(Br)nc1,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
40,c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cc(-n3c4ccccc4c4ccccc43)c(-c3c(-c4ccco4)cccc3-n3c4ccccc4c4ccccc43)cc2-n2c3ccccc3c3ccccc32)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,Brc1cc(-n2c3ccccc3c3ccccc32)c(Br)cc1-n1c2ccccc2c2ccccc21,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
41,c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cc(-c3c(-c4ccco4)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,Brc1cc(Br)c2ccccc2c1,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
42,Clc1cc(-c2c(-c3ccco3)cccc2-n2c3ccccc3c3ccccc32)sc1-c1c(-c2ccco2)cccc1-n1c2ccccc2c2ccccc21,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,Clc1cc(Br)sc1Br,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
43,Cc1nc2c(-c3c(-c4ccco4)cccc3-n3c4ccccc4c4ccccc43)c3nsnc3c(-c3c(-c4ccco4)cccc3-n3c4ccccc4c4ccccc43)c2nc1C,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,Cc1nc2c(Br)c3nsnc3c(Br)c2nc1C,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
44,c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2ccccc2Oc2ccccc2-c2c(-c3ccco3)cccc2-n2c3ccccc3c3ccccc32)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,Brc1ccccc1Oc1ccccc1Br,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
45,CC(C)(C)c1ccc2c(-c3c(-c4ccco4)cccc3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3c(-c4ccco4)cccc3-n3c4ccccc4c4ccccc43)c2c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,CC(C)(C)c1ccc2c(Br)c3ccccc3c(Br)c2c1,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
46,Fc1cc(-c2c(-c3ccco3)cccc2-n2c3ccccc3c3ccccc32)c(F)cc1-c1c(-c2ccco2)cccc1-n1c2ccccc2c2ccccc21,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
47,c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2ccc3oc(-c4c(-c5ccco5)cccc4-n4c5ccccc5c5ccccc54)cc3c2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,Brc1ccc2oc(Br)cc2c1,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
48,c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2ccc(-c3c(-c4ccco4)cccc3-n3c4ccccc4c4ccccc43)o2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,Brc1ccc(Br)o1,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
49,c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4c(-c5ccco5)cccc4-n4c5ccccc5c5ccccc54)ccc2-3)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
50,Clc1cc(Cl)c(-c2c(-c3ccco3)cccc2-n2c3ccccc3c3ccccc32)cc1-c1c(-c2ccco2)cccc1-n1c2ccccc2c2ccccc21,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,Clc1cc(Cl)c(Br)cc1Br,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
51,c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cnc3nc(-c4c(-c5ccco5)cccc4-n4c5ccccc5c5ccccc54)ccc3c2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,Brc1cnc2nc(Br)ccc2c1,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
52,c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2cccc3cccc(-c4c(-c5ccco5)cccc4-n4c5ccccc5c5ccccc54)c23)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,Brc1cccc2cccc(Br)c12,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
53,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3c(-c4ccco4)cccc3-n3c4ccccc4c4ccccc43)ccc2-c2ccc(-c3c(-c4ccco4)cccc3-n3c4ccccc4c4ccccc43)cc21,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
54,Fc1c(F)c(-c2c(-c3ccco3)cccc2-n2c3ccccc3c3ccccc32)c2nsnc2c1-c1c(-c2ccco2)cccc1-n1c2ccccc2c2ccccc21,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,Fc1c(F)c(Br)c2nsnc2c1Br,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
55,C[Si](C)(c1ccc(-c2c(-c3ccco3)cccc2-n2c3ccccc3c3ccccc32)cc1)c1ccc(-c2c(-c3ccco3)cccc2-n2c3ccccc3c3ccccc32)cc1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
56,c1coc(-c2cccc(-n3c4ccccc4c4ccccc43)c2-c2ccc3nc4ccc(-c5c(-c6ccco6)cccc5-n5c6ccccc6c6ccccc65)cc4nc3c2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1c(Br)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2,Brc1ccc2nc3ccc(Br)cc3nc2c1,C[N+]12CC(=O)O[B-]1(c1c(-c3ccco3)cccc1-n1c3ccccc3c3ccccc31)OC(=O)C2
57,C[Si](C)(c1ccccc1-c1ccc(-c2ccco2)cc1)c1ccccc1-c1ccc(-c2ccco2)cc1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,C[Si](C)(c1ccccc1Br)c1ccccc1Br,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
58,c1coc(-c2ccc(-c3ccc(-c4ccc(-c5ccco5)cc4)nc3)cc2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1ccc(Br)nc1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
59,c1coc(-c2ccc(-c3cc(-n4c5ccccc5c5ccccc54)c(-c4ccc(-c5ccco5)cc4)cc3-n3c4ccccc4c4ccccc43)cc2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1cc(-n2c3ccccc3c3ccccc32)c(Br)cc1-n1c2ccccc2c2ccccc21,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
60,c1coc(-c2ccc(-c3cc(-c4ccc(-c5ccco5)cc4)c4ccccc4c3)cc2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1cc(Br)c2ccccc2c1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
61,Clc1cc(-c2ccc(-c3ccco3)cc2)sc1-c1ccc(-c2ccco2)cc1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Clc1cc(Br)sc1Br,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
62,Cc1nc2c(-c3ccc(-c4ccco4)cc3)c3nsnc3c(-c3ccc(-c4ccco4)cc3)c2nc1C,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Cc1nc2c(Br)c3nsnc3c(Br)c2nc1C,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
63,c1coc(-c2ccc(-c3ccccc3Oc3ccccc3-c3ccc(-c4ccco4)cc3)cc2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1ccccc1Oc1ccccc1Br,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
64,CC(C)(C)c1ccc2c(-c3ccc(-c4ccco4)cc3)c3ccccc3c(-c3ccc(-c4ccco4)cc3)c2c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,CC(C)(C)c1ccc2c(Br)c3ccccc3c(Br)c2c1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
65,Fc1cc(-c2ccc(-c3ccco3)cc2)c(F)cc1-c1ccc(-c2ccco2)cc1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
66,c1coc(-c2ccc(-c3ccc4oc(-c5ccc(-c6ccco6)cc5)cc4c3)cc2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1ccc2oc(Br)cc2c1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
67,c1coc(-c2ccc(-c3ccc(-c4ccc(-c5ccco5)cc4)o3)cc2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1ccc(Br)o1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
68,c1coc(-c2ccc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5ccc(-c6ccco6)cc5)ccc3-4)cc2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
69,Clc1cc(Cl)c(-c2ccc(-c3ccco3)cc2)cc1-c1ccc(-c2ccco2)cc1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Clc1cc(Cl)c(Br)cc1Br,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
70,c1coc(-c2ccc(-c3cnc4nc(-c5ccc(-c6ccco6)cc5)ccc4c3)cc2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1cnc2nc(Br)ccc2c1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
71,c1coc(-c2ccc(-c3cccc4cccc(-c5ccc(-c6ccco6)cc5)c34)cc2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1cccc2cccc(Br)c12,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
72,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(-c4ccco4)cc3)ccc2-c2ccc(-c3ccc(-c4ccco4)cc3)cc21,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
73,Fc1c(F)c(-c2ccc(-c3ccco3)cc2)c2nsnc2c1-c1ccc(-c2ccco2)cc1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Fc1c(F)c(Br)c2nsnc2c1Br,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
74,C[Si](C)(c1ccc(-c2ccc(-c3ccco3)cc2)cc1)c1ccc(-c2ccc(-c3ccco3)cc2)cc1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,C[Si](C)(c1ccc(Br)cc1)c1ccc(Br)cc1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
75,c1coc(-c2ccc(-c3ccc4nc5ccc(-c6ccc(-c7ccco7)cc6)cc5nc4c3)cc2)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1ccc2nc3ccc(Br)cc3nc2c1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccco3)cc1)OC(=O)C2
95,C[Si](C)(c1ccccc1-c1cccc(-c2ccco2)c1-n1c2ccccc2c2ccccc21)c1ccccc1-c1cccc(-c2ccco2)c1-n1c2ccccc2c2ccccc21,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,C[Si](C)(c1ccccc1Br)c1ccccc1Br,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1-n1c3ccccc3c3ccccc31)OC(=O)C2
96,c1coc(-c2cccc(-c3ccc(-c4cccc(-c5ccco5)c4-n4c5ccccc5c5ccccc54)nc3)c2-n2c3ccccc3c3ccccc32)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,Brc1ccc(Br)nc1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1-n1c3ccccc3c3ccccc31)OC(=O)C2
97,c1coc(-c2cccc(-c3cc(-n4c5ccccc5c5ccccc54)c(-c4cccc(-c5ccco5)c4-n4c5ccccc5c5ccccc54)cc3-n3c4ccccc4c4ccccc43)c2-n2c3ccccc3c3ccccc32)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,Brc1cc(-n2c3ccccc3c3ccccc32)c(Br)cc1-n1c2ccccc2c2ccccc21,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1-n1c3ccccc3c3ccccc31)OC(=O)C2
98,c1coc(-c2cccc(-c3cc(-c4cccc(-c5ccco5)c4-n4c5ccccc5c5ccccc54)c4ccccc4c3)c2-n2c3ccccc3c3ccccc32)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,Brc1cc(Br)c2ccccc2c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1-n1c3ccccc3c3ccccc31)OC(=O)C2
99,Clc1cc(-c2cccc(-c3ccco3)c2-n2c3ccccc3c3ccccc32)sc1-c1cccc(-c2ccco2)c1-n1c2ccccc2c2ccccc21,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,Clc1cc(Br)sc1Br,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1-n1c3ccccc3c3ccccc31)OC(=O)C2
100,Cc1nc2c(-c3cccc(-c4ccco4)c3-n3c4ccccc4c4ccccc43)c3nsnc3c(-c3cccc(-c4ccco4)c3-n3c4ccccc4c4ccccc43)c2nc1C,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,Cc1nc2c(Br)c3nsnc3c(Br)c2nc1C,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1-n1c3ccccc3c3ccccc31)OC(=O)C2
101,c1coc(-c2cccc(-c3ccccc3Oc3ccccc3-c3cccc(-c4ccco4)c3-n3c4ccccc4c4ccccc43)c2-n2c3ccccc3c3ccccc32)c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,Brc1ccccc1Oc1ccccc1Br,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1-n1c3ccccc3c3ccccc31)OC(=O)C2
102,CC(C)(C)c1ccc2c(-c3cccc(-c4ccco4)c3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3cccc(-c4ccco4)c3-n3c4ccccc4c4ccccc43)c2c1,OB(O)c1ccco1,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,CC(C)(C)c1ccc2c(Br)c3ccccc3c(Br)c2c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccco3)c1-n1c3ccccc3c3ccccc31)OC(=O)C2
