,smiles,frag_a_ix,frag_a,frag_b_ix,frag_b,frag_c_ix,frag_c,overlap,fluo_rate_ns,fluo_peak_1,fluo_peak_2,ext_peak_1,ext_peak_2,route_score,merits_1d_w_rs
1069,Fc1cc(-c2sccc2-c2ccc3ncccc3c2)c(F)cc1-c1sccc1-c1ccc2ncccc2c1,4,OB(O)c1ccc2ncccc2c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,5,Fc1cc(Br)c(F)cc1Br,0.025294421998446344,0.17768416003442666,0.7315089617838442,0.00021105759896103402,0.003984532792771325,0.00024949773687743553,56825.46257068188,0.025750017416701753
2140,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3c(-c4ccco4)cnn3C)ccc2-c2ccc(-c3c(-c4ccco4)cnn3C)cc21,8,OB(O)c1ccco1,8,Cn1ncc(Br)c1[B-]12OC(=O)C[N+]1(C)CC(=O)O2,12,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,0.15539233423185875,0.20859393402716966,0.7306818604754874,0.0002219101362370223,0.03845143431655037,0.0002484101544229542,39051.32624735784,0.026093870572472776
647,Cn1ncc(-c2ccc(F)c3ccccc23)c1-c1cc(Cl)c(-c2c(-c3ccc(F)c4ccccc34)cnn2C)s1,2,OB(O)c1ccc(F)c2ccccc12,8,Cn1ncc(Br)c1[B-]12OC(=O)C[N+]1(C)CC(=O)O2,1,Clc1cc(Br)sc1Br,0.07671391461371467,0.16725357503291488,0.7303976455723875,0.00029164854931608463,0.0633502174097443,0.0003227582336894772,71276.8472404458,0.02621202803439513
335,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3sccc3-c3cc(F)cc(F)c3)ccc2-c2ccc(-c3sccc3-c3cc(F)cc(F)c3)cc21,1,OB(O)c1cc(F)cc(F)c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,12,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,0.06973220418923129,0.6271653207822301,0.7285587750051198,0.00017659235103406726,0.009130680589579596,0.0003175772127418248,41124.78000466017,0.02697650687298588
70,Fc1cc(-c2cccc(-c3c(F)c(F)c(-c4cccc(-c5ccnc(F)c5)c4F)c4nsnc34)c2F)ccn1,0,OB(O)c1ccnc(F)c1,3,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,13,Fc1c(F)c(Br)c2nsnc2c1Br,0.06785937385511846,0.19203504061061133,0.7283408530185391,0.0002626468010377321,0.058385869611710724,0.0003609993051686005,58604.0280105031,0.02706710419406435
1552,Fc1c(-c2cc(Cl)ccc2Cl)cccc1-c1c(F)c(F)c(-c2cccc(-c3cc(Cl)ccc3Cl)c2F)c2nsnc12,6,OB(O)c1cc(Cl)ccc1Cl,3,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,13,Fc1c(F)c(Br)c2nsnc2c1Br,0.07927316933089143,0.1894754542021058,0.7254842601910886,0.0002636648933036456,0.09231040036353864,0.0003788519730629311,44935.17700601948,0.02825468357345531
1565,Clc1ccc(Cl)c(-c2ccsc2-c2ccc(-c3sccc3-c3cc(Cl)ccc3Cl)o2)c1,6,OB(O)c1cc(Cl)ccc1Cl,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,7,Brc1ccc(Br)o1,0.11862016313705198,0.4286548447834525,0.7241653319018189,0.0002630185630305786,0.22118126904173888,0.00042678485251406535,44282.20015150493,0.028803005344825845
829,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3sccc3-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)ccc2-c2ccc(-c3sccc3-c3ccc4c(ccn4C(=O)OC(C)(C)C)c3)cc21,3,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,12,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,0.07758119243175828,0.5641161632951625,0.7186652674102741,0.0001766108543878683,0.008967714539327834,0.00031530051247602583,86815.1153354668,0.031089562642285733
2021,c1coc(-c2ccccc2-c2ccc(-c3ccccc3-c3ccco3)o2)c1,8,OB(O)c1ccco1,2,C[N+]12CC(=O)O[B-]1(c1ccccc1Br)OC(=O)C2,7,Brc1ccc(Br)o1,0.03337787050289738,0.24634380588449675,0.7149885407531226,0.00027920538065344494,0.007454536458124277,0.00027282061690611545,37364.05110479393,0.03261809856792794
2554,CSc1cncc(-c2ccsc2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4sccc4-c4cncc(SC)c4)ccc2-3)c1,10,CSc1cncc(B(O)O)c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,8,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,0.10699916363678144,0.5459813715658561,0.7138632522847945,0.00016382746855674786,0.01150257218419953,0.0003253811241299971,98583.1385435132,0.03308591791131177
93,Fc1cc(-c2ccsc2-c2ccc(-c3sccc3-c3ccnc(F)c3)nc2)ccn1,0,OB(O)c1ccnc(F)c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,17,Brc1ccc(Br)nc1,0.023685512463532576,0.4266596507700637,0.709978963604797,0.00020730196429957494,0.0033763350946121136,0.00026358025603627635,57024.766271973735,0.03470074418113883
2129,Cn1ncc(-c2ccco2)c1-c1cc(Cl)c(-c2c(-c3ccco3)cnn2C)s1,8,OB(O)c1ccco1,8,Cn1ncc(Br)c1[B-]12OC(=O)C[N+]1(C)CC(=O)O2,1,Clc1cc(Br)sc1Br,0.09120882180797177,0.19097120952964647,0.7063142399494359,0.0003850383309371765,0.044664646590209287,0.0002767538973842199,40485.71400138545,0.03622429006505009
81,Fc1cc(-c2ccsc2-c2cc(F)c(-c3sccc3-c3ccnc(F)c3)cc2F)ccn1,0,OB(O)c1ccnc(F)c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,5,Fc1cc(Br)c(F)cc1Br,0.016502225920583282,0.3153723052185166,0.6991540475700884,0.00024256531167009086,0.0025277857326663185,0.00023371732909455785,57146.62924737539,0.03920101700368566
970,CC(C)(C)OC(=O)n1ccc2cc(-c3ncccc3-c3cc(Cl)c(-c4cccnc4-c4ccc5c(ccn5C(=O)OC(C)(C)C)c4)s3)ccc21,3,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,12,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,1,Clc1cc(Br)sc1Br,0.014381673916042897,0.18495476197773306,0.6893645596851928,0.00020875605278007387,0.0019470827258868922,0.00021649897773351752,88451.23244552535,0.04327082836608237
2501,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(-c4cncc(SC)c4)cc3)ccc2-c2ccc(-c3ccc(-c4cncc(SC)c4)cc3)cc21,10,CSc1cncc(B(O)O)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,12,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,0.030929156348766463,1.0869826942961671,0.6881016575528726,0.00018793559629662096,0.003319200629912665,0.00026008512599282285,99113.9053611648,0.04379585822547286
