,smiles,frag_a_ix,frag_a,frag_b_ix,frag_b,frag_c_ix,frag_c,overlap,fluo_rate_ns,fluo_peak_1,fluo_peak_2,ext_peak_1,ext_peak_2,route_score,merits_1d_w_rs,merits_1d_rm_rs
825,CC(C)(C)OC(=O)n1ccc2cc(-c3ccsc3-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3cc(-c5sccc5-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)ccc3-4)ccc21,3,CC(C)(C)OC(=O)n1ccc2cc(B3OC(C)(C)C(C)(C)O3)ccc21,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,8,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,0.1669703171109894,0.6922136617264139,0.7674230756634628,0.00018685650703252618,0.05054587191811418,0.0003677032964251212,87094.35152042104,0.043584796634199695,0.05844355101533356
587,Fc1ccc(-c2ccsc2-c2ccc(-c3sccc3-c3ccc(F)c4ccccc34)nc2)c2ccccc12,2,OB(O)c1ccc(F)c2ccccc12,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,17,Brc1ccc(Br)nc1,0.09041277292182254,0.2540267662902359,0.7641203993577937,0.0001920461349179876,0.0239544464660618,0.0003345242555126772,68333.55556617911,0.025551450863833848,0.06053592168555893
2553,CSc1cncc(-c2ccsc2-c2ccc(-c3sccc3-c3cncc(SC)c3)o2)c1,10,CSc1cncc(B(O)O)c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,7,Brc1ccc(Br)o1,0.13189923963558348,0.357198928332066,0.7637573440232821,0.00024004497026952818,0.14735481206225778,0.0004001355113225595,97761.90350911496,0.05539190305040065,0.060765931006271624
1223,c1cnc(-c2ccc3ncccc3c2)c(-c2ccc(-c3cccnc3-c3ccc4ncccc4c3)o2)c1,4,OB(O)c1ccc2ncccc2c1,12,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,7,Brc1ccc(Br)o1,0.14114055021370794,0.3673926513070398,0.7616184457731232,0.00015506076365091014,0.024899766806023124,0.00032978757088355484,57009.42986878671,0.015175555665591164,0.06212100415029935
2064,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3sccc3-c3ccco3)ccc2-c2ccc(-c3sccc3-c3ccco3)cc21,8,OB(O)c1ccco1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,12,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,0.0934704084340913,0.5277044769929534,0.7568253925124732,0.0002069693762441136,0.023604860842314758,0.0003198792712013826,39307.10267439225,0.0,0.06515758513348494
578,Fc1ccc(-c2ccsc2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4sccc4-c4ccc(F)c5ccccc45)ccc2-3)c2ccccc12,2,OB(O)c1ccc(F)c2ccccc12,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,8,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,0.14498680826945715,0.5669438392598857,0.7500694902465738,0.00016103262127910615,0.024705395826430426,0.0003467605601879198,69953.54496073029,0.031044601839427036,0.06943770538862852
571,Fc1ccc(-c2ccsc2-c2cc(Cl)c(-c3sccc3-c3ccc(F)c4ccccc34)s2)c2ccccc12,2,OB(O)c1ccc(F)c2ccccc12,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,1,Clc1cc(Br)sc1Br,0.08508668369958693,0.2855824075692424,0.7492506227119046,0.00024501670942571644,0.09350303600001776,0.000377689193925387,71612.47023088938,0.032893239195594615,0.06995648902158716
1397,Cn1ncc(-c2cncc(S(C)(=O)=O)c2)c1-c1cnc2nc(-c3c(-c4cncc(S(C)(=O)=O)c4)cnn3C)ccc2c1,5,CS(=O)(=O)c1cncc(B(O)O)c1,8,Cn1ncc(Br)c1[B-]12OC(=O)C[N+]1(C)CC(=O)O2,10,Brc1cnc2nc(Br)ccc2c1,0.1864160467949948,0.1585966369087585,0.8208266701983009,0.00018014687045393376,0.12283993799264953,0.0003761280827596694,207807.39222142444,0.1579544366210934,0.07034400849412688
2058,c1coc(-c2ccsc2-c2ccc3oc(-c4sccc4-c4ccco4)cc3c2)c1,8,OB(O)c1ccco1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,6,Brc1ccc2oc(Br)cc2c1,0.0627061008237069,0.2312327837615892,0.7485305311120309,0.0002659391644600928,0.03329136242724205,0.0002972391221631916,34925534.75714709,0.4096209229901597,0.07041269435447588
331,Fc1cc(F)cc(-c2ccsc2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4sccc4-c4cc(F)cc(F)c4)ccc2-3)c1,1,OB(O)c1cc(F)cc(F)c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,8,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,0.047955425151638816,0.5901671432630703,0.7479823876519345,0.000227282185910392,0.015437585185769041,0.00032092428965129264,41279.79049639081,0.00455337293118069,0.07075996402090155
