,smiles,frag_a_ix,frag_a,frag_b_ix,frag_b,frag_c_ix,frag_c,overlap,fluo_rate_ns,fluo_peak_1,fluo_peak_2,ext_peak_1,ext_peak_2,route_score,merits_1d_w_rs,merits_1d_rm_rs
2910,c1ccc(-c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)c4ccccc34)s2)c(Oc2ccccc2-c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)c4ccccc34)s2)c1,11,OB(O)c1ccc(-n2c3ccccc3c3ccccc32)c2ccccc12,10,C[N+]12CC(=O)O[B-]1(c1ccc(Br)s1)OC(=O)C2,3,Brc1ccccc1Oc1ccccc1Br,0.19370657536308372,0.2071362325808309,0.8597927427523624,0.00015573486799283658,0.1406805579037581,0.00041362975862232,22550876.096287806,0.35202044572624946,0.0
2801,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3sccc3-c3ccc(-n4c5ccccc5c5ccccc54)c4ccccc34)ccc2-c2ccc(-c3sccc3-c3ccc(-n4c5ccccc5c5ccccc54)c4ccccc34)cc21,11,OB(O)c1ccc(-n2c3ccccc3c3ccccc32)c2ccccc12,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,8,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,0.1286754176691386,0.3195113052055389,0.8297764036934768,0.0001740728686370557,0.1003169470136496,0.0003933025630965817,23563142.263888348,0.35673225362090466,0.018940353400418625
1321,CS(=O)(=O)c1cncc(-c2ccsc2-c2cnc3nc(-c4sccc4-c4cncc(S(C)(=O)=O)c4)ccc3c2)c1,5,CS(=O)(=O)c1cncc(B(O)O)c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,10,Brc1cnc2nc(Br)ccc2c1,0.17094328384801874,0.4555198659420655,0.8290732324820567,0.00016724935995884863,0.09722350365019113,0.00037558410876235577,208347.07053316466,0.1500988980816667,0.01938583902563627
1070,c1cnc2ccc(-c3ccsc3-c3ccc4oc(-c5sccc5-c5ccc6ncccc6c5)cc4c3)cc2c1,4,OB(O)c1ccc2ncccc2c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,6,Brc1ccc2oc(Br)cc2c1,0.1603656370503372,0.23974033032961514,0.8273839912620475,0.00017674685028546482,0.10028315968779893,0.00033091908482748216,34944339.24426945,0.4097084524697709,0.020456037391009117
86,Fc1cc(-c2ccsc2-c2cnc3nc(-c4sccc4-c4ccnc(F)c4)ccc3c2)ccn1,0,OB(O)c1ccnc(F)c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,10,Brc1cnc2nc(Br)ccc2c1,0.11150412200882542,0.4516379325510368,0.7934478235860783,0.00015330919573145087,0.026158810904483774,0.00034431222592596077,60357.13343175128,0.009245989130090166,0.041955886402298505
2754,c1ccc2c(-n3c4ccccc4c4ccccc43)ccc(-c3ccc(-c4cc(-n5c6ccccc6c6ccccc65)c(-c5ccc(-c6ccc(-n7c8ccccc8c8ccccc87)c7ccccc67)cc5)cc4-n4c5ccccc5c5ccccc54)cc3)c2c1,11,OB(O)c1ccc(-n2c3ccccc3c3ccccc32)c2ccccc12,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,18,Brc1cc(-n2c3ccccc3c3ccccc32)c(Br)cc1-n1c2ccccc2c2ccccc21,0.14725544881948632,0.2537463265656997,0.7925685189527459,0.00013113254082124437,0.028136833772746776,0.00036923237139797015,40271200.72785375,0.4345034607348224,0.042512959228908825
1810,Fc1cc(-c2sccc2-c2ccc3c(ccn3-c3cnccn3)c2)c(F)cc1-c1sccc1-c1ccc2c(ccn2-c2cnccn2)c1,7,CC1(C)OB(c2ccc3c(ccn3-c3cnccn3)c2)OC1(C)C,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,5,Fc1cc(Br)c(F)cc1Br,0.09812938304112986,0.28342630067398417,0.7862885062766639,0.00017236832827693846,0.028657154677400695,0.00034730180022501765,21943307.3225483,0.34919238781393414,0.04649158538416429
84,Fc1cc(-c2ccsc2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4sccc4-c4ccnc(F)c4)ccc2-3)ccn1,0,OB(O)c1ccnc(F)c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,8,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,0.10392735940954273,0.49493076029481003,0.7827389815678447,0.0002030260699274395,0.05172376061455621,0.00035803673221108137,58576.93339878635,0.010558094083224834,0.048740343877760856
1076,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3sccc3-c3ccc4ncccc4c3)ccc2-c2ccc(-c3sccc3-c3ccc4ncccc4c3)cc21,4,OB(O)c1ccc2ncccc2c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,12,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(I)ccc2-c2ccc(I)cc21,0.1525776096351887,0.6279549393120354,0.7772203280358058,0.00022459728030451744,0.19229619352290256,0.0003956737309541153,58126.415133813265,0.01171586555392872,0.05223662014611737
1072,c1ccc2c(c1)-c1ccccc1C21c2cc(-c3sccc3-c3ccc4ncccc4c3)ccc2-c2ccc(-c3sccc3-c3ccc4ncccc4c3)cc21,4,OB(O)c1ccc2ncccc2c1,4,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,8,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,0.19081062619560646,0.4986121226267954,0.776345548474109,0.00022668746161281651,0.2556056330565272,0.0004083082500920338,58299.56811052551,0.012141755293350522,0.05279230774520519
