,smiles,frag_a_ix,frag_a,frag_b_ix,frag_b,frag_c_ix,frag_c,overlap,fluo_rate_ns,fluo_peak_1,fluo_peak_2,ext_peak_1,ext_peak_2,route_score
17,Fc1cc(-c2cccc(-c3ccc(-c4cccc(-c5ccnc(F)c5)c4-n4c5ccccc5c5ccccc54)nc3)c2-n2c3ccccc3c3ccccc32)ccn1,0,OB(O)c1ccnc(F)c1,0,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,17,Brc1ccc(Br)nc1,0.015578896480484265,0.0022789848821083932,0.364416225975803,0.001444303380219975,0.07061866331826576,0.00034312832553327546,1562.603975232094
18,Fc1cc(-c2cccc(-c3cc(-n4c5ccccc5c5ccccc54)c(-c4cccc(-c5ccnc(F)c5)c4-n4c5ccccc5c5ccccc54)cc3-n3c4ccccc4c4ccccc43)c2-n2c3ccccc3c3ccccc32)ccn1,0,OB(O)c1ccnc(F)c1,0,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1-n1c3ccccc3c3ccccc31)OC(=O)C2,18,Brc1cc(-n2c3ccccc3c3ccccc32)c(Br)cc1-n1c2ccccc2c2ccccc21,0.27637321626196,0.03074143242666313,0.2868363278169142,0.0007299888469073069,0.7384289998286947,0.0006411455456750863,1632.204248809919
19,Fc1cc(-c2ccc(-c3cc(-c4ccc(-c5ccnc(F)c5)cc4)c4ccccc4c3)cc2)ccn1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,0,Brc1cc(Br)c2ccccc2c1,0.11752695508513804,0.2132619736131715,0.021369746119849195,3.485565019730716e-05,0.0007485165661482999,0.00012417720646329598,5.600061659113427
20,Fc1cc(-c2ccc(-c3cc(Cl)c(-c4ccc(-c5ccnc(F)c5)cc4)s3)cc2)ccn1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,1,Clc1cc(Br)sc1Br,0.280009096372319,1.1324510295870769,0.5099533579284233,0.00011019583996907482,0.005487877877454799,0.0003189597899404149,5.0107058263669835
21,Cc1nc2c(-c3ccc(-c4ccnc(F)c4)cc3)c3nsnc3c(-c3ccc(-c4ccnc(F)c4)cc3)c2nc1C,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,2,Cc1nc2c(Br)c3nsnc3c(Br)c2nc1C,0.17616622472371302,0.15710662219003482,0.0022239868641338993,0.08658905654324935,0.06006381876605854,0.0019942190323480806,11.98751120790553
22,Fc1cc(-c2ccc(-c3ccccc3Oc3ccccc3-c3ccc(-c4ccnc(F)c4)cc3)cc2)ccn1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,3,Brc1ccccc1Oc1ccccc1Br,0.0274169985243957,0.09469530759690292,0.017973124397633957,3.210556008442244e-05,0.0004927729518280084,7.961648967440899e-05,4.239760985963956
23,CC(C)(C)c1ccc2c(-c3ccc(-c4ccnc(F)c4)cc3)c3ccccc3c(-c3ccc(-c4ccnc(F)c4)cc3)c2c1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,4,CC(C)(C)c1ccc2c(Br)c3ccccc3c(Br)c2c1,0.5148479230396782,0.2392827488664093,0.8208502498337628,0.0002037141364158834,0.502394833413804,0.0005015245496248407,10.084307897820292
24,Fc1cc(-c2ccc(-c3cc(F)c(-c4ccc(-c5ccnc(F)c5)cc4)cc3F)cc2)ccn1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,5,Fc1cc(Br)c(F)cc1Br,0.161041630161298,1.3559831708016612,0.028773991152047967,3.481685565309407e-05,0.0008682989038614134,0.0001422267630251306,4.468936602462243
25,Fc1cc(-c2ccc(-c3ccc4oc(-c5ccc(-c6ccnc(F)c6)cc5)cc4c3)cc2)ccn1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,6,Brc1ccc2oc(Br)cc2c1,0.38200883207826763,1.2522112181504592,0.04372938614804529,4.3895432599222746e-05,0.0013148130806991194,0.00018883286621556827,2514.855083742478
26,Fc1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccnc(F)c5)cc4)o3)cc2)ccn1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,7,Brc1ccc(Br)o1,0.5772946459351098,1.2275388893663814,0.4620674218574895,9.810954074401234e-05,0.009192587287074578,0.00036226641892871705,4.467574358434261
